"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,272,382"
"    AGE",""
"        Under 5 years","112,877"
"        5 to 9 years","151,228"
"        10 to 14 years","184,643"
"        15 to 19 years","201,868"
"        20 to 24 years","221,373"
"        25 to 29 years","222,338"
"        30 to 34 years","198,580"
"        35 to 39 years","186,481"
"        40 to 44 years","207,162"
"        45 to 49 years","205,914"
"        50 to 54 years","215,671"
"        55 to 59 years","219,740"
"        60 to 64 years","221,573"
"        65 to 69 years","197,678"
"        70 to 74 years","183,132"
"        75 to 79 years","146,081"
"        80 to 84 years","102,428"
"        85 years and over","93,615"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","335,871"
"        15 to 17 years","117,428"
"        Under 18 years","566,176"
"        18 to 24 years","305,813"
"        15 to 44 years","1,237,802"
"        16 years and over","2,785,909"
"        18 years and over","2,706,206"
"        21 years and over","2,574,746"
"        60 years and over","944,507"
"        62 years and over","852,163"
"        65 years and over","722,934"
"        75 years and over","342,124"
"    SUMMARY INDICATORS",""
"        Median age (years)","43.7"
"        Sex ratio (males per 100 females)","90.2"
"        Age dependency ratio","65.0"
"        Old-age dependency ratio","36.5"
"        Child dependency ratio","28.5"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
