"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,311,274"
"    AGE",""
"        Under 5 years","122,415"
"        5 to 9 years","159,264"
"        10 to 14 years","193,155"
"        15 to 19 years","210,295"
"        20 to 24 years","227,033"
"        25 to 29 years","224,008"
"        30 to 34 years","195,204"
"        35 to 39 years","193,109"
"        40 to 44 years","210,449"
"        45 to 49 years","210,505"
"        50 to 54 years","220,146"
"        55 to 59 years","221,214"
"        60 to 64 years","220,552"
"        65 to 69 years","196,759"
"        70 to 74 years","181,478"
"        75 to 79 years","138,637"
"        80 to 84 years","98,160"
"        85 years and over","88,891"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","352,419"
"        15 to 17 years","122,443"
"        Under 18 years","597,277"
"        18 to 24 years","314,885"
"        15 to 44 years","1,260,098"
"        16 years and over","2,797,936"
"        18 years and over","2,713,997"
"        21 years and over","2,577,086"
"        60 years and over","924,477"
"        62 years and over","831,914"
"        65 years and over","703,925"
"        75 years and over","325,688"
"    SUMMARY INDICATORS",""
"        Median age (years)","43.1"
"        Sex ratio (males per 100 females)","90.4"
"        Age dependency ratio","64.7"
"        Old-age dependency ratio","35.0"
"        Child dependency ratio","29.7"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
