"Label (Grouping)","Puerto Rico!!Total!!Estimate"
"Total population","3,255,642"
"    AGE",""
"        Under 5 years","130,964"
"        5 to 9 years","162,558"
"        10 to 14 years","193,912"
"        15 to 19 years","211,965"
"        20 to 24 years","224,949"
"        25 to 29 years","219,540"
"        30 to 34 years","188,607"
"        35 to 39 years","194,697"
"        40 to 44 years","206,148"
"        45 to 49 years","208,003"
"        50 to 54 years","217,952"
"        55 to 59 years","215,654"
"        60 to 64 years","213,487"
"        65 to 69 years","191,107"
"        70 to 74 years","173,644"
"        75 to 79 years","130,673"
"        80 to 84 years","90,327"
"        85 years and over","81,455"
"    SELECTED AGE CATEGORIES",""
"        5 to 14 years","356,470"
"        15 to 17 years","123,726"
"        Under 18 years","611,160"
"        18 to 24 years","313,188"
"        15 to 44 years","1,245,906"
"        16 years and over","2,728,839"
"        18 years and over","2,644,482"
"        21 years and over","2,508,499"
"        60 years and over","880,693"
"        62 years and over","792,090"
"        65 years and over","667,206"
"        75 years and over","302,455"
"    SUMMARY INDICATORS",""
"        Median age (years)","42.4"
"        Sex ratio (males per 100 females)","90.5"
"        Age dependency ratio","64.7"
"        Old-age dependency ratio","33.7"
"        Child dependency ratio","30.9"
"    PERCENT ALLOCATED",""
"        Sex","(X)"
"        Age","(X)"
